file_path,code_churn,commit_count
providers/exasol/provider.yaml,3,1
providers/exasol/pyproject.toml,17,3
providers/exasol/src/airflow/providers/exasol/__init__.py,2,1
providers/fab/README.rst,13,2
providers/fab/docs/changelog.rst,54,2
providers/fab/docs/index.rst,15,3
providers/fab/provider.yaml,9,3
providers/fab/pyproject.toml,19,4
providers/fab/src/airflow/providers/fab/__init__.py,4,2
providers/facebook/README.rst,6,1
providers/facebook/docs/changelog.rst,11,1
providers/facebook/docs/index.rst,6,1
providers/facebook/provider.yaml,3,1
providers/facebook/pyproject.toml,6,1
providers/facebook/src/airflow/providers/facebook/__init__.py,2,1
providers/ftp/README.rst,6,1
providers/ftp/docs/changelog.rst,11,1
providers/ftp/docs/index.rst,6,1
providers/ftp/provider.yaml,3,1
providers/ftp/pyproject.toml,9,1
providers/ftp/src/airflow/providers/ftp/__init__.py,2,1
providers/git/README.rst,12,2
providers/git/docs/changelog.rst,22,2
providers/git/docs/index.rst,12,2
providers/git/provider.yaml,6,2
providers/git/pyproject.toml,12,2
providers/git/src/airflow/providers/git/__init__.py,4,2
providers/github/README.rst,6,1
providers/github/docs/changelog.rst,12,1
providers/github/docs/index.rst,6,1
providers/github/provider.yaml,3,1
providers/github/pyproject.toml,6,1
providers/github/src/airflow/providers/github/__init__.py,2,1
providers/google/README.rst,12,2
providers/google/docs/changelog.rst,61,2
providers/google/docs/index.rst,14,2
providers/google/provider.yaml,6,2
providers/google/pyproject.toml,16,3
providers/google/src/airflow/providers/google/__init__.py,4,2
providers/grpc/README.rst,12,2
providers/grpc/docs/changelog.rst,22,2
providers/grpc/docs/index.rst,12,2
providers/grpc/provider.yaml,6,2
providers/grpc/pyproject.toml,12,2
providers/grpc/src/airflow/providers/grpc/__init__.py,4,2
providers/hashicorp/README.rst,12,2
providers/hashicorp/docs/changelog.rst,23,2
providers/hashicorp/docs/index.rst,12,2
providers/hashicorp/provider.yaml,6,2
providers/hashicorp/pyproject.toml,12,2
providers/hashicorp/src/airflow/providers/hashicorp/__init__.py,4,2
providers/http/README.rst,12,2
providers/http/docs/changelog.rst,24,2
providers/http/docs/index.rst,14,2
providers/http/provider.yaml,6,2
providers/http/pyproject.toml,23,3
providers/http/src/airflow/providers/http/__init__.py,4,2
providers/imap/README.rst,12,2
providers/imap/docs/changelog.rst,23,2
providers/imap/docs/index.rst,14,2
providers/imap/provider.yaml,6,2
providers/imap/pyproject.toml,16,3
.github/actions/install-prek/action.yml,12,5
Dockerfile.ci,20,6
chart/.pre-commit-config.yaml,3,1
dev/breeze/doc/ci/02_images.md,12,5
dev/breeze/pyproject.toml,6,3
dev/breeze/src/airflow_breeze/commands/release_management_commands.py,14,5
dev/breeze/uv.lock,2625,5
go-sdk/.pre-commit-config.yaml,4,2
airflow-core/tests/unit/always/test_project_structure.py,16,1
airflow-core/tests/unit/migrations/__init__.py,16,1
airflow-core/tests/unit/migrations/test_no_orm_refs_in_migration_scripts.py,68,1
dev/breeze/tests/test_pytest_args_for_test_types.py,1,1
devel-common/src/tests_common/test_utils/file_loading.py,16,1
scripts/ci/prek/check_tests_in_right_folders.py,1,1
airflow-core/src/airflow/api_fastapi/core_api/routes/public/log.py,2,1
airflow-core/src/airflow/api_fastapi/auth/managers/simple/ui/package-lock.json,3735,6
airflow-core/src/airflow/api_fastapi/auth/managers/simple/ui/package.json,79,7
